from,to,dashes,arrows.to.enabled,arrows.middle.enabled,arrows.to.type,arrows.middle.type,color,width
DHA,ALOX15,false,F,F,arrow,arrow,black,1
DHA,COX-2/CYP450,true,T,T,vee,vee,black,1
DHA,ALOX12,true,F,F,arrow,arrow,black,1
ALOX15,LTC4S/GSTM4,false,F,F,arrow,arrow,black,1
ALOX15,EH,false,F,F,arrow,arrow,black,1
ALOX15,ALOX5,false,F,F,arrow,arrow,black,1
LTC4S/GSTM4,PCTR1,false,F,F,arrow,arrow,black,1
PCTR1,GGT,false,F,F,arrow,arrow,black,1
GGT,PCTR2,false,F,F,arrow,arrow,black,1
PCTR2,DPEP,false,F,F,arrow,arrow,black,1
DPEP,PCTR3,false,F,F,arrow,arrow,black,1
EH,PD1,false,F,F,arrow,arrow,black,1
EH,17R-PD1,true,T,T,vee,vee,black,1
EH2,MaR1,true,F,F,arrow,arrow,black,1
EH2,MaR2,true,F,F,arrow,arrow,black,1
PD1,CYP450,false,F,F,arrow,arrow,black,1
CYP450,22-OH-PD1,false,F,F,arrow,arrow,black,1
MaR1,DH,true,F,F,arrow,arrow,black,1
MaR1,CYP450-2,true,F,F,arrow,arrow,black,1
DH,14-oxo-MaR1,true,F,F,arrow,arrow,black,1
CYP450-2,22-OH-MaR1,true,F,F,arrow,arrow,black,1
COX-2/CYP450,EH,true,T,T,vee,vee,black,1
COX-2/CYP450,ALOX5,true,T,T,vee,vee,black,1
ALOX5,PDX,false,F,F,arrow,arrow,black,1
ALOX5,RvD1,false,F,F,arrow,arrow,black,1
ALOX5,RvD2,false,F,F,arrow,arrow,black,1
ALOX5,RvD3,false,F,F,arrow,arrow,black,1
ALOX5,RvD4,false,F,F,arrow,arrow,black,1
ALOX5,RvD5,false,F,F,arrow,arrow,black,1
ALOX5,RvD6,false,F,F,arrow,arrow,black,1
ALOX5,17R-RvD3,true,T,T,vee,vee,black,1
ALOX5,17R-RvD1,true,T,T,vee,vee,black,1
ALOX5,"4S,14S-diHDHA",true,F,F,arrow,arrow,black,1
ALOX5,"7S,14S-diHDHA",true,F,F,arrow,arrow,black,1
ALOX12,ALOX5,true,F,F,arrow,arrow,black,1
ALOX12,EH2,true,F,F,arrow,arrow,black,1
ALOX12,LTC4S/GSTM4-2,true,F,F,arrow,arrow,black,1
LTC4S/GSTM4-2,MCTR1,true,F,F,arrow,arrow,black,1
MCTR1,GGT2,true,F,F,arrow,arrow,black,1
GGT2,MCTR2,true,F,F,arrow,arrow,black,1
MCTR2,DPEP2,true,F,F,arrow,arrow,black,1
DPEP2,MCTR3,true,F,F,arrow,arrow,black,1
