id,label,color.background,color.border,level,shape,opacity,size,x,y,margin.top,margin.bottom,margin.left,margin.right
PCTR_BOX,,,white,9,box,0.2,15,5.4,-11.15,390,390,50,50
PROT_BOX,,,white,9,box,0.2,15,6.1,-11.2,200,200,150,150
DSR_BOX,,,white,9,box,0.2,15,7.02,-9.25,130,130,490,490
MAR_BOX,,,white,9,box,0.2,15,8.24,-10.95,300,300,180,180
MCTR_BOX,,,white,9,box,0.2,15,9,-11.15,390,390,50,50
PCTR,PCTRs,black,white,9,text,1,20,5.4,-9.9,5,5,5,5
PROT,Protectins,black,white,9,text,1,20,5.9,-10.52,5,5,5,5
DSR,D-Series Resolvins,black,white,9,text,1,20,6.12,-8.75,5,5,5,5
MAR,Maresins,black,white,9,text,1,20,8.05,-9.95,5,5,5,5
MCTR,MCTRs,black,white,9,text,1,20,9,-9.9,5,5,5,5
DHA,DHA,purple,white,1,hexagon,1,20,7.2,-13.5,5,5,5,5
ALOX15,ALOX15,lightblue,white,2,box,1,15,5.8,-13,5,5,5,5
COX-2/CYP450,COX-2/CYP450,lightblue,white,2,box,1,15,7,-13,5,5,5,5
ALOX12,ALOX12,lightblue,white,2,box,1,15,8,-13,5,5,5,5
LTC4S/GSTM4,LTC4S/GSTM4,lightblue,white,3,box,1,15,5.4,-12.5,5,5,5,5
PCTR1,PCTR1,lightgrey,white,3.5,dot,1,15,5.4,-12.2,5,5,5,5
GGT,GGT,lightblue,white,4,box,1,15,5.4,-11.7,5,5,5,5
PCTR2,PCTR2,lightgrey,white,4.5,dot,1,15,5.4,-11.2,5,5,5,5
DPEP,DPEP,lightblue,white,5,box,1,15,5.4,-10.7,5,5,5,5
PCTR3,PCTR3,lightgrey,white,5.5,dot,1,15,5.4,-10.2,5,5,5,5
MCTR1,MCTR1,lightgrey,white,3.5,dot,1,15,9,-12.2,5,5,5,5
MCTR2,MCTR2,lightgrey,white,4.5,dot,1,15,9,-11.2,5,5,5,5
MCTR3,MCTR3,lightgrey,white,5.5,dot,1,15,9,-10.2,5,5,5,5
EH,EH,lightblue,white,3,box,1,15,6.5,-12.5,5,5,5,5
ALOX5,ALOX5,lightblue,white,3,box,1,15,7.2,-12.5,5,5,5,5
PD1,PD1,lightgrey,white,4,dot,1,15,5.9,-11.7,5,5,5,5
CYP450,CYP450,lightblue,white,5,box,1,15,5.9,-11.2,5,5,5,5
22-OH-PD1,22-OH-PD1,lightgrey,white,5.5,dot,1,15,5.9,-10.8,5,5,5,5
17R-PD1,17R-PD1,lightgrey,white,4,dot,1,15,6.3,-11.7,5,5,5,5
PDX,PDX,lightgrey,white,5,dot,1,15,6.3,-10.8,5,5,5,5
RvD1,RvD1,lightgrey,white,7,dot,1,15,6,-9.5,5,5,5,5
RvD2,RvD2,lightgrey,white,7,dot,1,15,6.5,-9.5,5,5,5,5
RvD3,RvD3,lightgrey,white,8,dot,1,15,6.15,-9,5,5,5,5
RvD4,RvD4,lightgrey,white,7,dot,1,15,7,-9.5,5,5,5,5
RvD5,RvD5,lightgrey,white,8,dot,1,15,6.65,-9,5,5,5,5
RvD6,RvD6,lightgrey,white,7,dot,1,15,7.5,-9.5,5,5,5,5
17R-RvD3,17R-RvD3,lightgrey,white,8,dot,1,15,7.2,-9,5,5,5,5
17R-RvD1,17R-RvD1,lightgrey,white,7,dot,1,15,8,-9.5,5,5,5,5
"4S,14S-diHDHA","4S,14S-diHDHA",lightgrey,white,8,dot,1,15,7.8,-9,5,5,5,5
"7S,14S-diHDHA","7S,14S-diHDHA",lightgrey,white,4,dot,1,15,8,-11.7,5,5,5,5
MaR2,MaR2,lightgrey,white,4,dot,1,15,8.5,-11.7,5,5,5,5
MaR1,MaR1,lightgrey,white,4.5,dot,1,15,8.5,-11.3,5,5,5,5
DH,DH,lightblue,white,5,box,1,15,8,-11.3,5,5,5,5
14-oxo-MaR1,14-oxo-MaR1,lightgrey,white,8,dot,1,15,8,-10.5,5,5,5,5
22-OH-MaR1,22-OH-MaR1,lightgrey,white,7,dot,1,15,8.5,-10.2,5,5,5,5
EH2,EH,lightblue,white,3,box,1,15,7.7,-12.5,5,5,5,5
LTC4S/GSTM4-2,LTC4S/GSTM4,lightblue,white,3,box,1,15,9,-12.5,5,5,5,5
GGT2,GGT,lightblue,white,4,box,1,15,9,-11.7,5,5,5,5
DPEP2,DPEP,lightblue,white,5,box,1,15,9,-10.7,5,5,5,5
CYP450-2,CYP450,lightblue,white,6,box,1,15,8.5,-10.7,5,5,5,5
